id,date
56,1960-12-13
250,1960-12-13
276,1960-12-13
442,1960-12-13
528,1960-12-13
826,1960-12-13
372,1965-01-01
620,1986-01-01
300,1988-09-01
792,1989-03-01
470,1989-07-01
196,1991-01-01
900,1991-01-01
348,1992-07-01
756,1992-07-01
40,1993-05-01
578,1994-03-01
208,1994-08-01
705,1995-10-01
752,1995-12-01
203,1996-01-01
380,1996-04-01
642,1996-09-01
703,1997-01-01
724,1997-01-01
191,1997-03-01
100,1997-06-01
492,1997-12-01
807,1998-11-01
498,2000-03-01
246,2001-01-01
8,2002-04-01
70,2004-03-01
804,2004-05-01
616,2004-09-01
688,2005-07-01
51,2006-03-01
440,2006-09-01
499,2007-07-01
428,2011-01-01
268,2014-01-01
233,2015-01-01
376,2016-04-29
504,2016-06-02
