AV_AIRSPAC,fab
"EBBUFIR","FABEC"
"EDGGFIR","FABEC"
"EDMMFIR","FABEC"
"EDWWFIR","FABEC"
"EETTFIR","NEFAB"
"EFINFIR","NEFAB"
"EGPXFIR","UKEI"
"EGTTFIR","UKEI"
"EHAAFIR","FABEC"
"EISNFIR","UKEI"
"EKDKFIR","DKSE"
"ENOBFIR","NEFAB"
"ENORFIR","NEFAB"
"EPWWFIR","BALTIC"
"ESAAFIR","DKSE"
"EVRRFIR","NEFAB"
"EYVLFIR","BALTIC"
"GCCCFIR","SWFAB"
"LBSRFIR","DANUBE"
"LCCCFIR","BLUEMED"
"LDZOFIR","FABCE"
"LECBFIR","SWFAB"
"LECMFIR","SWFAB"
"LFBBFIR","FABEC"
"LFEEFIR","FABEC"
"LFFFFIR","FABEC"
"LFMMFIR","FABEC"
"LFRRFIR","FABEC"
"LGGGFIR","BLUEMED"
"LHCCFIR","FABCE"
"LIBBFIR","BLUEMED"
"LIMMFIR","BLUEMED"
"LIRRFIR","BLUEMED"
"LJLAFIR","FABCE"
"LKAAFIR","FABCE"
"LMMMFIR","BLUEMED"
"LOVVFIR","FABCE"
"LPPCFIR","SWFAB"
"LRBBFIR","DANUBE"
"LSASFIR","FABEC"
"LZBBFIR","FABCE"
