AV_AIRSPAC,fab
LJLAFIR,fabce
LZBBFIR,fabce
DTTCFIR,bluemed
LHCCFIR,fabce
EGPXFIR,ukei
EETTFIR,nefab
ENORFIR,nefab
EPWWFIR,baltic
LPPOFIR,swfab
EDWWFIR,fabec
EHAAFIR,fabec
LMMMFIR,bluemed
EKDKFIR,dkse
EDMMFIR,fabec
LOVVFIR,fabce
LFEEFIR,fabec
LDZOFIR,fabce
LFBBFIR,fabec
EBBUFIR,fabec
LAAAFIR,bluemed
LCCCFIR,bluemed
EISNFIR,ukei
EFINFIR,nefab
ESAAFIR,dkse
OJACFIR,bluemed
EGGXFIR,ukei
ENOBFIR,nefab
LFRRFIR,fabec
LECMFIR,swfab
LSASFIR,fabec
LECBFIR,swfab
EYVLFIR,baltic
LGGGFIR,bluemed
LPPCFIR,swfab
LBSRFIR,danube
LIRRFIR,bluemed
EDGGFIR,fabec
LKAAFIR,fabce
LIBBFIR,bluemed
HECCFIR,bluemed
LRBBFIR,danube
GCCCFIR,swfab
EVRRFIR,nefab
LFMMFIR,fabec
EGTTFIR,ukei
LFFFFIR,fabec
LQSBFIR,fabce
LIMMFIR,bluemed
